ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,MSRP,DISCOUNT,IS_BIG_DEAL,STATUS_Disputed,STATUS_In Process,STATUS_On Hold,STATUS_Resolved,STATUS_Shipped,PRODUCTLINE_Motorcycles,PRODUCTLINE_Planes,PRODUCTLINE_Ships,PRODUCTLINE_Trains,PRODUCTLINE_Trucks and Buses,PRODUCTLINE_Vintage Cars,COUNTRY_Austria,COUNTRY_Belgium,COUNTRY_Canada,COUNTRY_Denmark,COUNTRY_Finland,COUNTRY_France,COUNTRY_Germany,COUNTRY_Ireland,COUNTRY_Italy,COUNTRY_Japan,COUNTRY_Norway,COUNTRY_Philippines,COUNTRY_Singapore,COUNTRY_Spain,COUNTRY_Sweden,COUNTRY_Switzerland,COUNTRY_UK,COUNTRY_USA,DEALSIZE_Medium,DEALSIZE_Small,SEGMENT
10107,-0.5228908557285186,0.5702030008260841,-0.3705712189641765,-0.14224584412333427,93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10121,-0.11220131389876024,-0.11750681633795805,-0.4281317545848654,-0.14224584412333427,94,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10134,0.6065053843033168,0.5210808710286525,0.17951201295806724,-0.14224584412333427,94,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
10145,1.017194926133075,-0.01926255674309489,0.10457471186698171,-0.14224584412333427,94,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
10159,1.4278844679628335,0.815813649813242,0.8968466125328787,-0.14224584412333427,93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
10168,0.09314345701611891,0.6193251306235157,-0.04041267502664028,-0.14224584412333427,93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10180,-0.6255632411859581,0.12810383264919986,-0.5736621653994373,-0.14224584412333427,94,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10188,1.325212082505394,0.815813649813242,1.0635549562644966,-0.14224584412333427,93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
10201,-1.344269939388035,0.7175693902183788,-0.7523170353919528,-0.14224584412333427,93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10211,0.6065053843033168,0.815813649813242,0.6269637238207808,-0.14224584412333427,93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
10223,0.1958158424735585,0.815813649813242,0.22349695055500873,-0.14224584412333427,93,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
